id_xt,id,klient,lokalizacja,raport
2,20093,Nyborg-Mawent,Malbork (zimny – Malarnia),OK
3,20112,Nyborg-Mawent,Malbork (zimny – Malarnia),OK
7,20176,,,
8,20177,ECO Malbork - Cieplownia,Malbork, ul. Piaskowa 82
9,20178,Nyborg-Mawent,Malbork (zimny – Malarnia),OK
10,20183,,Swiecie, Armii Krajowej
11,20184,,Sztum, Feliksa Nowowiejskiego 14
12,20185,,,
13,20186,,,
14,20187,,,
15,20188,,,
16,20189,,Malbork, Piaskowa 1
17,20190,,Malbork, Piaskowa 1
18,20191,,,
19,20192,,Gniew, Generala Józefa Hallera 1
20,20193,,,
21,20194,Nyborg-Mawent,Malbork (zimny – Malarnia),OK
25,20442,,,
26,20443,,,
27,20444,,,
28,20445,,,
29,20446,,,
30,20447,,,
31,20448,,,
32,20449,,,
33,20450,,,
34,20451,,,
35,20452,,,
36,20453,,,
37,20454,,,
38,20455,,,
39,20456,,,
40,20457,,,
41,20458,,,
42,20459,,,
43,20460,,,
